Quality_flag,Bias-start_1,Bias-start_2,Bias-start_3,Bias-start-rationale,Disc-start_1,Disc-start_2,Disc-start_3,Disc-start_4,Disc-start_5,Disc-start_6,Disc-start-rationale,IndFair-1,IndFair-2,IndFair-3,IndFair-4,IndFair-5,IndFair-6,IndFair-7,IndFair-8,IndFair-9,Disc-end_1,Disc-end_2,Disc-end_3,Disc-end_4,Disc-end_5,Disc-end_6,Disc-end-rationale,Bias-end_1,Bias-end_2,Bias-end_3,Bias-end_4,Bias-end-rationale,Percv-work_1,Percv-work_2,Percv-work_3,Percv-work_4,Percv-work_5,Percv-work_6,Percv-work-rationale,Asian_race,Explanation_style,Prolific_Total_approvals,Prolific_Fluent_languages,Prolific_Age,Prolific_Sex,Prolific_Ethnicity_simplified,Prolific_Country_of_birth,Prolific_Country_of_residence,Prolific_Nationality,Prolific_Language,Prolific_Student_status,Prolific_Employment_status,Timer1_Page Submit,Predict1,Rationale1,Timer2_Page Submit,Predict2,Rationale2,Timer3_Page Submit,Predict3,Rationale3,Timer4_Page Submit,Predict4,Rationale4,Timer5_Page Submit,Predict5,Rationale5,Timer6_Page Submit,Predict6,Rationale6,Attention,Attention-ration,Timer7_Page Submit,Predict7,Rationale7,Timer8_Page Submit,Predict8,Rationale8,Timer9_Page Submit,Predict9,Rationale9,Timer10_Page Submit,Predict10,Rationale10,Timer11_Page Submit,Predict11,Rationale11,Timer12_Page Submit,Predict12,Rationale12
green,1,4,3,,3,2,2,2,2,2,,5,2,1,1,4,1,4,3,5,3,4,4,4,3,4,,3,2,5,4,,5,3,2,5,5,5,Felt irritated by the content of the tweets. ,1,NE,3244,English,22,Male,Asian,United States,United States,United States,English,No,Full-Time,50.89,1,"Specifically mentions ""China virus"" coined by former President Trump.",12.151,4,,8.989,2,Uses a derogatory term,8.364,4,,10.479,1,"Uses the phrase ""Chinese virus""",37.338,1,"Refers to Chinese people as ""dogs""",4,attention,13.062,4,,23.647,4,,4.446,1,,9.046,4,,5.946,2,,10.163,4,
green,3,5,5,,1,1,1,1,1,1,,2,6,2,1,6,1,3,2,9,1,1,1,1,1,1,,4,2,5,5,,3,1,1,7,6,1,,0,NE,611,English,22,Male,White,United States,United States,United States,English,Yes,Part-Time,11.612,1,,16.484,2,,12.73,2,,5.069,4,,1.891,1,,3.947,1,,4,attention,14.916,4,,5.12,4,,2.55,1,,6.228,2,,4.049,1,,2.075,1,
green,1,3,4,"１is not true unless you go into the rural regions, 2 is probably true but I haven't kept up with the news. 3 seems reasonable for the crimes against humanity within their borders.",1,1,3,1,1,1,,5,1,5,4,1,3,5,3,5,2,2,4,1,1,1,,4,1,5,3,,3,1,2,5,4,2,,1,NE,3281,"Chinese, English",23,Male,Asian,China,United States,United States,Chinese,Yes,Unemployed (and job seeking),20.818,1,,16.538,2,,27.297,2,Non-COVID Asian hate,4.33,4,,4.384,1,,11.322,4,Seems like sexual roleplay or something,4,attention,6.763,4,,23.538,4,,2.93,1,,9.499,2,,12.249,1,,19.55,2,
green,3,4,3,,1,1,1,1,1,1,,7,7,2,1,6,1,4,4,9,1,1,1,1,1,1,,3,4,5,4,,4,1,2,6,5,1,This was a little bit hard because the texts were short and out of their original context so it was sometimes hard to decide whether they were really hateful or not,0,NE,4207,English,60,Female,White,United States,United States,United States,English,No,Full-Time,35.656,1,"referring to covid as ""the chinese virus"" is inciting hatred of Chinese people",16.252,4,this is just an opinion about China's behavior,28.772,4,this uses derogatory words but doesn't really say anything hateful,21.074,4,,9.513,1,,18.657,1,,4,attention,21.699,4,this pretty much says that the CCP is bad while specifically saying China and the Chinese are not,17.272,1,"this one is on the edge - it blames China though, which promotes hatred",24.25,1,,9.157,1,,18.064,1,,18.189,1,this one is so incoherent I'm not sure what it is trying to say but it sounds antagonistic 
green,3,3,3,I don't know any of these things. I'm unaware of such allegations. ,1,1,1,1,1,1,I'm feeling pretty good. I'm happy. Hope you're happy too.,7,7,1,1,6,1,1,1,9,1,1,1,1,1,1,I'm happy.  Can't be negatively effected by some silliness that looks like 12 year old boys wrote. ,1,3,5,3,I still don't know. I'd prefer dogs and cats not be meals but I can't slam another culture for their eating preferences. ,1,1,1,7,1,1,I'm happy. Hope your happy too. ,0,NE,2757,English,46,Female,White,United States,United States,United States,English,No,Full-Time,36.081,1,None,11.869,1,Thats definitely ugly.,12.729,1,That was horrible. ,24.163,1,Its ugly but not sure it's directed at Asians. ,9.256,1,Definitely hateful. ,8.578,1,"Wow, how ugly. I feel sorry for anyone who acts this way.",4,attention,38.899,4,The hate is to ccp.,7.138,1,Definitely hateful.,7.903,1,Wow!,6.5,1,People really look silly with their communication skills.,7.507,1,So not clever.,12.28,1,Not even coherent. 
green,4,5,5,China and South Korea are infamous for not criminalizing eating animals like dogs and cats. The CCP is well known for controlling Chinese social media and CCTV cameras to look at every Chinese person with stuff like social credit. The Chinese leaders need to apologize for being authoritarian and spying on Chinese citizens.,4,4,4,2,1,4,Thinking about China makes me feel bad and angry for what Chinese citizens have to go through living in China.,5,2,1,1,3,1,4,3,9,5,5,4,3,4,4,"After reading the tweets, most of the tweets I believe are hateful towards Asians and are COVID related. It makes me feel kind of negative and bad that people are actually writing these tweets and sending them out on Twitter when they probably wouldn't say them in real life.",5,4,5,5,I still believe the same things about China before I read the tweets.,6,1,2,4,5,3,Some of the tweets were hard to decide whether it was a type of hateful tweet or was it not hateful. I sometimes thought I needed more context in the tweets to decide more confidently whether they were hateful or not.,1,NE,692,English,22,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking),75.219,1,"It mentions corona and chinese virus, so it is COVID related Asian hate",24.467,4,Nothing related to COVID,31.985,2,It has a Chinese slur but it does not mention COVID,38.859,4,I think it is just a joke about COVID. There is nothing that mentions Asian hate.,13.393,1,Mentions Chinese Virus,15.948,1,Calls Chinese people dogs and talks about COVID the next sentence,4,attention,107.317,4,It talks about a better life for Chinese people when the CCP is punished,28.2,4,It is asking for China to pay for the world economy on spreading COVID,12.322,1,Calling Chinese people losers with COVID hashtag,28.48,2,The person hates 90% of other countries and is hateful. Does not mention COVID.,33.835,1,It implies that Chinese made things are infected with COVID,28.226,4,The person is from Wuhan and is asking why are they using useless masks
green,2,4,2,"I don't like the CCP, but the other statements seem like bad stereotyping.",2,3,1,2,1,1,I'm not feeling emotional right now.,7,7,3,1,5,2,2,2,3,2,2,2,3,1,1,"I'm still not feeling emotional, but it's unfortunate to read so many mean comments.",4,1,5,4,"I think the CCP is kinda bad, but the country's people are ok.",2,1,2,6,4,3,N/A,1,NE,3880,English,25,Male,Asian,United States,United States,United States,Bengali,Yes,Other,12.948,1,"It mentioned ""chinese"".",13.735,1,directly mentions China,14.963,1,racial slurs,5.408,4,Doesn't mention race.,6.021,1,Specifies race.,14.469,2,"It's hard to say because it talks about Chinese dogs, not necessarily people. It's very vulgar though.",4,attention,11.859,4,"Mentions parties, not ethnicity.",4.035,1,says China,5.572,1,Shows hatred towards Chinese.,8.237,1,Directly mentions China,5.667,1,mentions China,7.852,2,"Only mentions Wuhan, but it is very aggressive."
green,1,2,2,I feel most of those talking points derive from some sort of misinformation ,2,2,2,1,1,1,,7,5,1,1,6,1,5,4,9,2,2,2,2,2,2,,1,1,5,2,,4,2,2,5,3,4,,0,NE,931,"English, Spanish",20,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),41.973,1,Says China Virus ,19.941,1,"""China is swallowing the world peace"" which sounds antagonstic to me ",17.752,1,Uses Chinese slur ,18.125,4,A little gortesque but I dont think its hateful,7.791,1,Refuses to not say China Virus,8.357,1,Says Chinese dogs which is a bit weird,4,attention,9.621,1,Shifts blame from China to the CCP,7.156,1,Says China should pay for covid,10.458,1,Says Chinese people are known for being Pu*sies,9.192,1,says China sucks ****,16.963,1,Uses the N word but replaces the G with a B. And says that Xbox being in China will give them covid,21.189,1,uses swears to I think a government agency
green,4,5,4,,2,2,2,2,2,2,,7,7,1,1,6,1,4,4,9,2,2,2,2,2,2,,4,4,5,5,,3,1,3,6,4,1,,0,NE,3239,English,28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,20.513,1,,5.364,1,,4.471,1,,8.275,2,,2.993,1,,5.783,1,,4,attention,13.537,4,,5.054,1,,2.733,1,,2.75,1,,6.465,1,,6.796,1,
green,3,5,3,,4,4,3,5,5,4,,7,6,1,1,6,1,2,3,9,5,3,5,5,4,4,,2,3,5,5,,3,1,1,5,5,2,,0,NE,,,,,,,,,,,,39.703,1,,21.006,2,,21.094,2,,15.502,4,,12.803,4,,19.043,1,,4,attention,17.568,1,,5.703,1,,10.607,1,,10.703,2,,5.966,1,,18.383,1,
green,1,3,3,,1,1,1,1,1,1,,5,5,3,1,1,2,4,3,5,3,4,4,4,3,4,,3,1,5,3,,5,6,5,5,6,5,,1,NE,2548,English,23,Male,Asian,Singapore,United States,United States,Chinese,Yes,Full-Time,23.084,1,,19.405,2,,11.023,1,,8.713,4,,5.686,2,,11.545,1,,4,attention,9.743,1,,6.052,2,,8.459,1,,13.57,1,,18.89,4,,20.106,1,
green,1,3,5,China needs to apologize to the world for not cooperating more with the governments and scientific communities in other countries to contain the spread of Covid in the earliest days of the viral outbreak in that country. This resistance and refusal allowed the epidemic to proliferate freely throughout the world in the months and years following.,2,1,1,2,2,3,,7,6,1,1,2,3,4,5,8,2,1,3,4,2,3,,5,1,5,3,,6,1,1,7,7,1,,1,NE,4527,English,41,Female,Asian,United States,United States,United States,English,No,Full-Time,23.451,1,It mentions Chinese virus.,22.74,1,It mentions a specific Asian country (the originating country of Covid-19).,10.916,1,It features a racist term.,12.458,2,"It doesn't mention Asian people or countries, but there is an overtone of hate/bias.",5.044,1,It mentions Chinese virus.,12.271,1,It mentions Chinese and implies only Chinese people have the virus.,4,attention,16.717,4,,9.525,4,,7.78,1,It mentions Chinese and Chinese virus.,8.547,1,It mentions China doing an unmentionable act.,7.557,1,It mentions the virus being made in China.,10.562,4,
green,3,4,3,,2,2,2,2,3,3,,2,6,1,1,6,1,4,5,4,4,4,4,4,3,4,,2,2,5,4,,5,2,3,6,5,5,,0,NE,1064,English,32,Female,White,United States,United States,United States,English,No,Full-Time,12.65,1,,16.137,2,,15.313,2,,6.772,4,,6.665,1,,15.702,1,,4,attention,14.778,1,,4.15,1,,6.561,1,,8.552,2,,5.344,1,,6.243,1,
red,3,3,3,,1,1,1,1,1,1,,6,7,1,4,6,1,5,3,9,5,5,5,5,5,5,,5,5,3,3,,6,5,5,5,5,5,,0,NE,211,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,2.557,1,,1.551,2,,1.17,4,,1.11,2,,2.065,1,,1.285,1,,4,,1.21,2,,1.227,2,,127.773,1,,4.822,1,,1.923,1,,0.873,2,
green,2,4,2,,2,2,1,1,1,1,,7,6,1,1,6,1,4,4,4,4,4,4,5,1,4,People are the worst and social media giving them a louder voice was a mistake.,1,2,5,4,,6,1,3,7,6,4,,0,NE,3668,English,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,68.763,1,I think being so blatant about calling it the Chinese Virus makes it hate.,27.674,4,It is borderline but mostly just an opinion about peace,35.524,2,It doesn't mention covid but it does have racist language.,25.683,2,It doesn't mention Asians specifically but they are being hateful in general,12.255,1,They're referring to it as the Chinese virus,37.441,2,I don't think it is necessarily about covid hatred but the person is being hateful,4,attention,31.136,1,It think the virus mentioned is covid and there is hate against the Chinese here.,26.051,1,They are attacking the Chinese and referencing the virus,18.396,2,They do seem to be hateful to the Chinese but it is not covid specific,8.85,4,They seem to be pretty across the board with their thoughts,11.962,1,They are associating the Chinese with the coronavirus.,25.069,2,There is some hate there but I do not think it is specific to the Chinese
green,2,3,3,,4,4,3,4,1,1,,7,2,3,1,2,2,4,5,6,4,4,4,4,1,3,,3,1,5,3,,4,1,4,5,6,5,,1,NE,2826,English,35,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,30.699,1,labels the virus as being Chinese,25.71,1,,29.277,2,uses derogatory word,23.985,4,"vulgar, but not targeting a group",25.72,1,,38.698,1,,4,attention,21.047,4,is political against ccp but not an Asian group,18.032,4,,6.087,1,,13.094,2,not about covid but hateful againsy China,199.764,1,,12.505,1,
green,1,4,3,,4,4,4,4,4,4,,5,2,5,4,3,2,4,3,9,4,4,4,4,4,4,,3,1,5,4,,3,1,1,6,4,2,,1,NE,2841,"English, Korean",32,Male,Asian,Japan,United States,United States,Japanese,No,Full-Time,12.92,1,,8.492,1,,7.401,1,,8.164,4,,3.193,1,,8.076,2,,4,attention,4.75,1,,7.204,1,,5.169,1,,7.924,1,,4.637,1,,10.3,1,
green,2,3,3,I don't agree that China and South Korea eat animals .  I don't know a lot about the CCP spying on the people.  I don't know why the president needs to apologize to the world.,2,2,2,2,2,1,I am not feeling these bad emotions at this time.,7,4,2,1,1,2,4,2,3,3,1,1,1,1,2,The tweets made me feeling a little negative and angry.  It was very emotional for me.,3,1,5,3,I don't agree about the eating habits of China and South Korea.  I don't know much about the CCP and CCV to agree or disagree.,7,7,4,6,6,6,It made me think hard and try to figure out difficult tweets that were hard to read and was upsetting sometimes.  ,1,NE,2213,English,52,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,Part-Time,19.846,1,They mentioned corona and China so I it feels like a hate message to me as an Asian.,20.806,2,They say that China never confesses I feel a little of hatred coming from that message.,18.499,2,They did not mention Covid but they said Chinks and that is a very racist slang.,20.788,4,It is not hateful but it is vulgar and no mention of Asians in the tweet.,15.603,1,They say it is a Chinese virus meaning it came from China so they blame the Chinese for the Covid.,11.466,1,They mention the virus and Chinese so it has been the same dialogue along with Asian hate.  It is very upsetting to us Asians and it is a vulgar tweet.,4,attention,32.175,4,It is not hateful but they are blaming CCP for killing asian people.  They are pitting their own people against each other.,13.623,1,They are blaming China responsible for the virus and that we are responsible for the economy's downfall.,29.784,1,"They called Chinese losers and the reason for the virus, it is very agressive statement.",16.973,2,"It is hateful because it is vulgar, it is directed specifically to Asians as a target.",15.801,1,Yes it is hateful they mention corona virus and China saying they will catch the virus there.,16.293,2,They refer to Wuhan and the virus it is hateful just in that statement.  
green,1,4,4,,4,4,4,5,1,2,,2,6,1,1,6,1,5,5,9,5,5,5,4,1,4,,4,1,5,5,,6,2,1,5,6,6,,0,NE,2678,English,35,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,20.366,1,,12.663,2,,13.382,2,,6.903,1,,5.56,1,,10.703,1,,4,attention,39.969,1,,12.486,1,,13.382,1,,18.383,1,,9.904,1,,10.073,1,
green,2,2,3,,1,1,2,1,2,2,,7,7,1,1,6,1,4,4,9,2,2,2,2,2,2,,2,2,5,2,,2,1,2,6,3,2,,0,NE,1139,English,20,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),11.98,1,,5.496,1,,9.296,2,,7.251,4,,5.516,1,,5.959,1,,4,attention ,10.121,4,,4.734,1,,2.382,1,,4.548,1,,4.071,1,,9.504,1,
green,2,4,4,,4,4,4,4,2,2,,7,6,5,4,4,1,2,3,6,4,4,5,4,2,2,,4,2,5,4,,5,1,1,7,5,3,,1,NE,686,English,31,Male,Asian,Japan,United States,United States,English,No,Other,29.024,1,Mentioning an extreme racist alongside the rest of the comment,13.924,4,Speaking of China as a whole; their government in particular,16.071,1,Blatant racism,19.604,4,"Mom joke sort of ""hateful""",14.2,1,Subtlety pushing their racist agenda ,15.901,1,Dehumanizing Chinese people,4,attention,15.641,4,Separating racism from who should be the real target of people's frustration,9.077,4,They're pushing accountability rather than hate,14.806,1,"Their use of ""the Chinese"" is used in a racist way",13.283,4,Pushing the idea that most countries have a lot of baggage,30.971,1,Two-pronged racism towards black people and how China/Chinese people are all carries of covid,19.371,1,"Wuhan and ""mud pee"""
green,1,4,3,,1,1,1,1,1,1,,5,2,3,1,3,1,3,4,8,4,4,4,1,3,5,,2,1,5,4,,5,1,2,4,5,5,,1,NE,34,English,35,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,Full-Time,30.876,1,I think labeling it the China Virus makes it hateful. Many people seemed to use to cast judgement over Chinese people.,8.031,4,It's an opinion and it sounds like an opinion about the Chinese government ,9.399,1,The tweet used a racist name for Chinese people.,5.691,4,"While inappropriate, the tweet had nothing to do with Asian people",5.098,1,Again calling it the Chinese virus implies some sort of hate or judgement cat upon Chinese people,6.23,1,It talks about Chinese people in a disparaging way,4,attention,9.274,4,This is only towards the CCP and not people in general ,7.06,4,Again this comment seems to only have to do with the CCP,3.836,1,Name calling and making fun of Chinese people.,3.958,1,The posted openly admits being xenophobic,20.108,4,"I'm not fully sure on this one, it just sounds like an ignorant person. ",65.312,4,This post seems to be more about not liking the rules that were put in place to protect people from Covic19. The Wuhan comment may have been hateful but I'm not sure. 
green,2,3,3,,2,2,2,1,1,1,,7,7,1,1,6,1,4,4,9,2,2,2,1,1,2,,4,4,5,3,,2,2,1,7,7,2,,0,NE,700,English,32,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,25.706,1,,31.02,4,,14.941,1,,10.966,4,,10.349,1,,13.802,1,,4,attention,15.036,4,,17.805,1,,12.303,1,,4.71,1,,8.576,1,,18.519,1,
green,4,4,3,"These are things I've heard and some of them are proven with videos, like eating animals beyond cows and chicken.",2,2,2,1,1,1,,6,5,1,1,6,1,5,5,4,2,2,2,1,1,1,,3,4,5,4,,3,1,1,7,7,3,,1,NE,2892,English,38,Female,Asian,United States,United States,United States,English,No,Full-Time,31.501,1,It calls Covid a Chinese virus and although it may have started there I don't know if it was the only cause.,21.069,2,,8.373,2,It uses a racial slur in the message.,19.985,2,"It's a nasty troll message, full of misogyny.",9.491,2,,13.846,1,"It's disgusting, misogynistic and mentions Chinese viruses.",4,attention,12.5,4,This is just someone's rant and opinion.,12.193,4,,8.187,1,,9.424,2,The individual admits being xenophobic.,10.504,1,"They're insulting black people, China.",13.708,2,This is a ridiculous rant by an uneducated troll.
green,3,4,3,,1,1,2,2,1,1,,5,1,3,1,3,3,3,3,8,1,1,2,2,1,1,,3,3,5,4,,3,1,1,7,2,1,,1,NE,1769,English,33,Male,Asian,United States,United States,United States,Vietnamese,Yes,Unemployed (and job seeking),41.333,1,,20.673,4,There is a lot of missing context here to deem this to be hateful. ,26.38,2,Calling Asians Chinks is being racist and hateful.,10.646,4,,7.727,1,,14.442,1,,4,attention,21.083,4,"They are not attacking Asians, in fact they want a better outcome for the people of China and for people to stop calling it a China Virus.",11.512,4,,11.583,1,,10.989,2,,13.968,4,,12.934,1,
